TRANSCRIPT	WT_Azole_1	WT_Azole_2	WT_Azole_3	WT_GMM_1	WT_GMM_2	WT_GMM_3
AFUB_048610-T	3.855264300754214	1.8167889658020124	1.6765648846654917	4.067473284496782	1.8052936458150726	1.1850321590402995
AFUB_048620-T	447.76141093045374	229.4659518019027	207.9508784064757	204.62519446622272	224.94531935949712	217.5222984024438
AFUB_048630-T	0.14493474814865465	0.22021684433963787	0	0	0.31521000165025076	0.1653533245172511
AFUB_048730-T	0.49277814370542583	0.7157047441038231	1.0798214511404862	1.8381850420321995	0.5731090939095469	1.4881799206552597
AFUB_048740-T	26.37812416305515	33.47296033962496	14.54917323641918	5.631886086226313	17.709071001804997	19.015632319483874
AFUB_048750-T	13.594879376343808	4.156592936910665	6.024267043204817	7.274519528042322	3.868486383889441	3.3070664903450218
AFUB_048760-T	11.565792902262643	15.11238094280765	6.677843184684585	0.8995373609944806	6.67672094404622	4.657451973902572
AFUB_048770-T	0.08696084888919281	0.22021684433963787	0.2273308318190497	0.5866548006485742	0.057310909390954685	0.19291221193679295
AFUB_048780-T	1.3333996829676231	1.1286113272406442	1.2219032210273921	3.402597843761731	2.1491591021608003	1.4881799206552597
AFUB_048790-T	2.6667993659352462	5.560475319575857	4.575032990358375	7.039857607782891	4.52756184188542	5.0708352851957
AFUB_048800-T	0.4058172948162331	1.1561384327830988	0.25574718579643096	0.7039857607782891	0.7736972767778882	0.8818843974253392
AFUB_048810-T	0.057973899259461864	0	0.11366541590952485	0	0.11462181878190937	0.1102355496781674
AFUB_048820-T	0.17392169777838562	0	0.397828955683337	0	0	0.1653533245172511
AFUB_048830-T	5.101703134832645	7.872752185142055	2.7563863358059777	0.821316720908004	3.4959654728482357	3.1692720532473126
AFUB_048840-T	1.1304910355595064	1.4864636992925557	0.9945723892083425	0.7822064008647657	0.5157981845185922	0.4133833112931277
AFUB_048850-T	0.057973899259461864	0	0.056832707954762425	0	0.17193272817286404	0.1653533245172511
AFUB_048860-T	0.6956867911135425	0.5505421108490947	0.2273308318190497	0.3128825603459063	0.40117636573668275	0.1653533245172511
AFUB_048870-T	0.34784339555677124	0.27527105542454733	0.397828955683337	0.23466192025942972	0.11462181878190937	0.0551177748390837
AFUB_048880-T	0.20290864740811654	0.13763552771227366	0.25574718579643096	0.23466192025942972	0.14327727347738672	0.08267666225862555
AFUB_048890-T	0.9275823881513898	0.3853794775943663	0.795657911366674	0	0.8023527314733655	0.3307066490345022
AFUB_048900-T	0	0	0	0	0.057310909390954685	0
AFUB_048910-T	0.057973899259461864	0.27527105542454733	0.11366541590952485	0.15644128017295314	0	0.02755888741954185
AFUB_048920-T	0.17392169777838562	0.3853794775943663	0.2273308318190497	0	0.22924363756381874	0.2204710993563348
AFUB_048930-T	0.34784339555677124	0.52301500530664	0.2273308318190497	0.3128825603459063	0.6304200033005015	0.716531072908088
AFUB_048940-T	2.608825466675784	3.6886321426889346	3.239464353421458	2.581281122853727	1.6333609176422084	1.3228265961380088
AFUB_048950-T	7.391672155581388	2.945400293042657	5.910601627295293	7.587402088388227	3.0374781977205982	2.370064318080599
AFUB_048960-T	18.986452007473762	11.97429091096781	17.98755206768231	13.062846894441586	11.462181878190938	4.6298930864830306
AFUB_048970-T	6.724972314097577	7.157047441038231	6.109516105136961	3.676370084064399	4.95739366231758	3.141713165827771
AFUB_048980-T	2.2030081718595507	3.055508715212476	2.671137273873834	2.5030604827672502	2.2064700115517555	1.7086510200115947
AFUB_048990-T	4.174120746681254	10.790625372642257	10.144638369925094	3.8719216842805904	6.275544578309538	6.779486305207295
AFUB_049000-T	0	0.4954878997641853	0.25574718579643096	0.07822064008647657	0.057310909390954685	0.2755888741954185
AFUB_049010-T	1.4493474814865468	1.761734754717103	2.8984681056928836	0.39110320043238284	1.2035290972100483	0.8818843974253392
AFUB_049020-T	3.855264300754214	5.69811084728813	5.17177642388338	0.7822064008647657	9.255711866639182	4.90548196067845
AFUB_049030-T	1.304412733337892	0.35785237205191156	0.25574718579643096	1.1733096012971485	1.0315963690371843	0.909443284844881
AFUB_049040-T	0.9275823881513898	0.6606505330189136	0.7388252034119116	1.6035231217727697	1.690671827033163	0.8267666225862554
